YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,FLAG
2021,5,2,12,18,34,1
2021,5,2,12,23,12,1
2021,5,2,12,28,33,1
2021,5,2,12,38,36,1
2021,5,2,12,43,55,1
2021,5,2,12,49,23,1
2021,5,2,12,54,11,1
2021,5,2,13,2,27,1
2021,5,2,13,7,43,1
2021,5,2,13,12,11,1
2021,5,2,13,21,49,1
2021,5,2,13,26,28,1
2021,5,2,13,31,32,1
2021,5,2,13,36,32,1
2021,5,2,13,41,38,1
2021,5,2,13,46,28,1
2021,5,2,13,51,31,1
2021,5,2,14,2,54,1
2021,5,2,14,7,31,1
2021,5,2,14,12,53,1
2021,5,2,14,18,38,1
2021,5,2,14,23,48,1
2021,5,2,14,28,4,1
2021,5,2,14,33,30,1
2021,5,2,14,43,32,1
2021,5,2,14,48,35,1
2021,5,2,14,53,47,1
2021,5,2,15,2,36,1
2021,5,2,15,7,48,1
2021,5,2,15,12,58,1
2021,5,2,15,17,29,1
2021,5,2,15,22,45,1
2021,5,2,15,27,53,1
2021,5,2,15,32,33,1
2021,5,2,15,37,9,1
2021,5,2,15,43,52,1
2021,5,2,15,51,55,1
2021,5,2,15,57,9,1
2021,5,2,16,2,3,1
2021,5,2,16,8,51,1
2021,5,2,16,14,4,1
2021,5,2,16,18,39,1
2021,5,2,16,24,25,1
2021,5,2,16,29,27,1
2021,5,2,16,33,58,1
2021,5,3,11,7,27,1
2021,5,3,11,12,9,1
2021,5,3,11,48,1,1
2021,5,3,12,22,48,1
2021,5,3,12,37,49,1
2021,5,3,12,42,53,1
2021,5,3,12,52,31,1
2021,5,3,13,12,36,1
2021,5,3,13,23,12,1
2021,5,3,13,28,0,1
2021,5,3,13,42,30,1
2021,5,3,13,47,58,1
2021,5,3,14,42,53,1
2021,5,3,15,7,33,1
2021,5,3,15,17,38,1
2021,5,3,15,51,51,1
2021,5,3,16,12,38,1
2021,5,3,16,17,44,1
2021,5,3,16,22,39,1
2021,5,3,16,32,48,1
2021,5,3,16,42,51,1
2021,5,3,16,47,53,1
2021,5,3,16,52,27,1
2021,5,4,8,51,38,1
2021,5,4,8,56,44,1
2021,5,4,9,17,45,1
2021,5,4,9,28,2,1
2021,5,4,9,33,11,1
2021,5,4,9,42,57,1
2021,5,4,9,48,45,1
2021,5,4,9,53,29,1
2021,5,4,10,2,33,1
2021,5,4,10,42,30,1
2021,5,4,14,17,40,1
2021,5,4,14,22,50,1
2021,5,4,14,27,39,1
2021,5,4,14,33,27,1
2021,5,4,14,38,4,1
2021,5,4,14,42,51,1
2021,5,4,14,47,51,1
2021,5,4,14,53,16,1
2021,5,4,15,2,41,1
2021,5,4,15,7,7,1
2021,5,4,15,12,40,1
2021,5,4,15,33,5,1
2021,5,4,15,38,21,1
2021,5,4,15,43,4,1
2021,5,4,15,48,4,1
2021,5,4,15,53,6,1
2021,5,4,16,2,33,1
2021,5,4,16,7,27,1
2021,5,4,16,12,40,1
2021,5,4,16,17,41,1
2021,5,4,16,22,34,1
2021,5,4,16,25,24,1
2021,5,4,16,34,14,1
2021,5,4,16,39,21,1
2021,5,4,16,44,38,1
2021,5,4,16,49,36,1
2021,5,4,16,54,38,1
2021,5,4,17,2,30,1
2021,5,5,10,3,2,1
2021,5,5,10,19,51,1
2021,5,5,11,1,59,1
2021,5,5,11,18,49,1
2021,5,5,11,25,12,1
2021,5,5,11,28,18,1
2021,5,5,12,26,41,1
2021,5,5,12,44,54,1
2021,5,5,12,54,15,1
2021,5,5,13,38,34,1
2021,5,5,13,43,37,1
2021,5,5,13,48,32,1
2021,5,5,13,53,46,1
2021,5,5,14,1,33,1
2021,5,13,10,3,20,1
2021,5,13,10,8,20,1
2021,5,13,10,13,44,1
2021,5,13,10,17,21,1
2021,5,13,10,54,33,1
2021,5,13,11,2,33,1
2021,5,13,11,7,32,1
2021,5,13,11,12,37,1
2021,5,13,11,17,46,1
2021,5,13,11,22,47,1
2021,5,13,11,27,23,1
2021,5,13,11,32,30,1
2021,5,13,11,38,50,1
2021,5,13,11,54,9,1
2021,5,13,12,2,32,1
2021,5,13,12,5,48,1
2021,5,13,12,16,53,1
2021,5,13,12,22,22,1
2021,5,13,12,27,10,1
2021,5,13,12,37,18,1
2021,5,13,12,42,43,1
2021,5,13,12,47,48,1
2021,5,13,12,52,50,1
2021,5,13,13,2,33,1
2021,5,13,13,7,35,1
2021,5,13,13,12,40,1
2021,5,13,13,17,47,1
2021,5,13,13,22,59,1
2021,5,13,13,27,49,1
2021,5,13,13,32,54,1
2021,5,13,13,38,8,1
2021,5,13,13,43,4,1
2021,5,13,13,48,19,1
2021,5,13,13,53,13,1
2021,5,13,14,2,32,1
2021,5,13,14,7,38,1
2021,5,13,14,12,59,1
2021,5,13,14,17,37,1
2021,5,13,14,22,56,1
2021,5,13,14,27,29,1
2021,5,13,14,37,56,1
2021,5,13,14,42,59,1
2021,5,13,14,48,0,1
2021,5,13,14,53,2,1
2021,5,13,15,1,45,1
2021,5,13,15,8,3,1
2021,5,13,15,12,55,1
2021,5,13,15,18,4,1
2021,5,13,15,23,16,1
2021,5,13,15,28,5,1
2021,5,13,15,33,3,1
2021,5,13,17,11,4,1
2021,5,16,8,34,15,1
2021,5,16,8,38,54,1
2021,5,16,8,44,30,1
2021,5,16,8,54,43,1
2021,5,16,9,2,28,1
2021,5,16,9,6,55,1
2021,5,16,9,12,52,1
2021,5,16,9,18,13,1
2021,5,16,9,23,22,1
2021,5,16,9,28,18,1
2021,5,16,9,33,24,1
2021,5,16,9,44,10,1
2021,5,16,9,49,33,1
2021,5,16,9,54,14,1
2021,5,16,10,13,43,1
2021,5,16,10,18,50,1
2021,5,16,10,29,59,1
2021,5,16,10,34,36,1
2021,5,16,10,39,28,1
2021,5,16,10,44,27,0
2021,5,16,10,49,43,1
2021,5,16,10,54,30,1
2021,5,16,11,21,54,1
2021,5,16,11,32,14,1
2021,5,16,11,37,22,1
2021,5,16,11,42,43,1
2021,5,16,11,47,0,1
2021,5,16,11,52,52,1
2021,5,16,12,3,13,1
2021,5,16,12,7,55,1
2021,5,16,12,13,0,1
2021,5,16,12,17,56,1
2021,5,16,12,22,57,1
2021,5,16,12,27,48,1
2021,5,16,12,33,40,1
2021,5,16,12,37,54,1
2021,5,16,12,43,36,1
2021,5,16,12,48,5,1
2021,5,16,12,53,15,1
2021,5,16,13,2,39,1
2021,5,16,13,7,27,1
2021,5,16,13,12,29,1
2021,5,16,13,17,39,1
2021,5,16,13,23,1,1
2021,5,16,13,28,2,1
2021,5,16,13,33,7,1
2021,5,16,13,38,14,1
2021,5,16,13,43,7,1
2021,5,16,13,47,32,1
2021,5,16,13,53,44,1
2021,5,16,14,3,26,1
2021,5,16,14,8,53,1
2021,5,16,14,12,15,1
2021,5,16,14,19,28,1
2021,5,16,14,25,36,1
2021,5,16,14,30,45,1
2021,5,16,14,41,13,1
